customer_id,campaign,response,response_date,purchase,purchase_date,product_id,Rowid,age,age_youngest_child,average#balance#feed#index,branch,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,marital,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,X_random
89,2,0,,0,,,18,46,11,665,"Kingsville",46,"M",0,0,0,32,14783.000000,"M",2,6,"12",6,3,2,1,25,42,7.799000,1
90,2,0,,0,,,19,70,38,73,"Ravensville",70,"F",0,0,0,32,14783.000000,"M",1,35,"36",6,2,2,2,25,42,11.803300,1
90,3,0,,0,,,20,70,38,73,"Ravensville",70,"F",0,0,0,32,14783.000000,"M",1,35,"36",6,2,2,2,25,42,11.803300,1
94,2,0,,0,,,21,28,1,220,"Ravensville",28,"F",0,0,0,32,14783.000000,"S",2,35,"36",6,0,4,2,25,42,8.706990,1
95,2,1,2006-07-19 00:00:00,1,,421,1939,39,11,748,"Catburg",39,"M",0,0,0,32,14783.000000,"S",2,16,"24",6,2,4,3,25,42,12.406700,3
96,2,0,,0,,,22,38,7,0,"Kingsville",38,"M",0,0,0,32,14783.000000,"U",2,-6,"0",6,1,0,0,25,42,0.000000,2
101,2,0,,0,,,23,32,1,0,"Kingsville",32,"F",0,0,0,32,14783.000000,"S",2,-6,"0",6,0,0,0,25,42,0.000000,2
105,2,0,,0,,,24,31,0,0,"Princeton",31,"F",0,0,0,32,14783.000000,"S",2,17,"24",6,0,0,0,25,42,0.000000,3
106,2,0,,0,,,25,36,7,0,"Kingsville",36,"F",0,0,0,32,14783.000000,"M",2,-1,"0",6,1,0,0,25,42,0.000000,2
112,2,0,,0,,,26,50,23,0,"Foxton",50,"F",0,0,0,40,14972.000000,"U",1,-5,"0",4,0,0,0,20,38,0.000000,3
112,3,0,,0,,,27,50,23,0,"Foxton",50,"F",0,0,0,40,14972.000000,"U",1,-5,"0",4,0,0,0,20,38,0.000000,3
121,2,1,2006-07-10 00:00:00,0,,421,1184,49,18,241,"Queensbury",49,"F",0,0,0,77,15494.000000,"M",7,28,"36",1,1,2,1,6,16,10.352300,1
132,2,0,,0,,,28,38,11,397,"Kingsville",38,"F",0,0,0,38,15512.000000,"S",5,30,"36",5,1,5,4,11,49,13.587300,2
135,2,0,,0,,,29,25,0,0,"Ravensville",25,"F",0,0,0,60,15533.000000,"S",3,-3,"0",2,2,1,0,9,29,0.000000,2
139,3,0,,0,,,30,38,9,0,"Queensbury",38,"M",0,0,0,60,15535.000000,"U",7,19,"24",1,1,0,0,15,24,0.000000,1
139,2,0,,0,,,31,38,9,0,"Queensbury",38,"M",0,0,0,60,15535.000000,"U",7,19,"24",1,1,0,0,15,24,0.000000,1
147,2,0,,0,,,32,37,7,0,"Princeton",37,"M",0,0,0,58,15562.000000,"M",7,11,"24",1,0,0,0,10,31,0.000000,3
155,2,0,,0,,,33,42,14,0,"Ravensville",42,"F",0,0,0,58,15562.000000,"U",7,-2,"0",1,2,0,0,10,31,0.000000,1
155,3,0,,0,,,34,42,14,0,"Ravensville",42,"F",0,0,0,58,15562.000000,"U",7,-2,"0",1,2,0,0,10,31,0.000000,1
156,2,0,,0,,,35,34,5,0,"Kingsville",34,"M",0,0,0,58,15562.000000,"S",7,27,"36",1,0,0,0,10,31,0.000000,3
156,3,0,,0,,,36,34,5,0,"Kingsville",34,"M",0,0,0,58,15562.000000,"S",7,27,"36",1,0,0,0,10,31,0.000000,3
159,2,0,,0,,,37,23,0,0,"Ravensville",23,"M",0,0,0,58,15562.000000,"S",7,7,"12",1,0,0,0,10,31,0.000000,1
161,2,0,,0,,,38,54,29,76,"Ravensville",54,"M",0,0,0,42,15576.000000,"S",1,39,"48",4,0,2,1,17,40,7.702330,1
161,3,0,,0,,,39,54,29,76,"Ravensville",54,"M",0,0,0,42,15576.000000,"S",1,39,"48",4,0,2,1,17,40,7.702330,1
162,2,0,,0,,,40,31,0,102,"Ravensville",31,"M",0,0,0,42,15576.000000,"S",2,6,"12",4,1,3,2,17,40,8.560660,1
164,2,0,,0,,,41,35,6,0,"Foxton",35,"F",0,0,0,42,15576.000000,"S",2,-3,"0",4,1,1,0,17,40,0.000000,3
164,3,0,,0,,,42,35,6,0,"Foxton",35,"F",0,0,0,42,15576.000000,"S",2,-3,"0",4,1,1,0,17,40,0.000000,3
181,3,0,,0,,,43,77,48,139,"Princeton",77,"M",0,0,0,60,16292.000000,"M",2,36,"48",1,2,4,3,16,23,9.791600,2
181,2,0,,0,,,44,77,48,139,"Princeton",77,"M",0,0,0,60,16292.000000,"M",2,36,"48",1,2,4,3,16,23,9.791600,2
183,2,1,2006-07-06 00:00:00,0,,421,840,57,28,499,"Foxton",57,"F",0,0,0,60,16292.000000,"S",2,15,"24",1,7,1,1,16,23,10.299000,2
187,3,0,,0,,,45,40,11,0,"Ravensville",40,"M",0,0,0,54,16265.000000,"S",6,37,"48",2,0,0,0,15,29,0.000000,2
187,2,0,,0,,,46,40,11,0,"Ravensville",40,"M",0,0,0,54,16265.000000,"S",6,37,"48",2,0,0,0,15,29,0.000000,2
191,2,0,,0,,,47,24,0,0,"Queensbury",24,"F",0,0,0,60,16287.000000,"S",3,17,"24",1,1,0,0,7,32,0.000000,3
193,2,0,,0,,,48,40,10,34,"Princeton",40,"F",0,0,0,60,16287.000000,"U",3,41,"48",1,0,1,1,7,32,11.563300,2
193,3,0,,0,,,49,40,10,34,"Princeton",40,"F",0,0,0,60,16287.000000,"U",3,41,"48",1,0,1,1,7,32,11.563300,2
196,2,0,,0,,,50,52,24,0,"Kingsville",52,"F",0,0,0,60,16287.000000,"U",2,12,"24",1,2,0,0,7,32,0.000000,2
199,2,0,,0,,,51,37,3,0,"Ravensville",37,"F",0,0,0,60,16287.000000,"S",3,39,"48",1,0,0,0,7,32,0.000000,1
203,2,0,,0,,,52,46,17,0,"Princeton",46,"F",0,0,0,41,16347.000000,"S",7,30,"36",4,1,0,0,11,46,0.000000,2
203,3,0,,0,,,53,46,17,0,"Princeton",46,"F",0,0,0,41,16347.000000,"S",7,30,"36",4,1,0,0,11,46,0.000000,2
204,2,0,,0,,,54,18,0,412,"Queensbury",18,"F",0,0,0,41,16347.000000,"S",7,19,"24",4,1,5,5,11,46,11.929300,1
210,2,0,,0,,,55,42,13,107,"Ravensville",42,"F",0,0,0,57,16959.000000,"U",2,40,"48",2,2,3,2,9,33,9.570660,3
210,3,0,,0,,,56,42,13,107,"Ravensville",42,"F",0,0,0,57,16959.000000,"U",2,40,"48",2,2,3,2,9,33,9.570660,3
218,2,0,,0,,,57,45,17,0,"Catburg",45,"F",0,0,0,68,17173.000000,"M",5,-1,"0",0,2,1,0,6,24,0.000000,2
222,2,0,,0,,,58,29,2,0,"Catburg",29,"M",0,0,0,66,17202.000000,"U",6,26,"36",0,1,0,0,7,26,0.000000,2
224,2,0,,0,,,59,34,8,0,"Queensbury",34,"F",0,0,0,66,17202.000000,"M",6,-7,"0",0,0,0,0,7,26,0.000000,2
228,2,0,,0,,,60,67,36,138,"Queensbury",67,"M",0,0,0,52,17416.000000,"S",2,37,"48",3,0,4,2,13,34,8.957320,1
228,3,0,,0,,,61,67,36,138,"Queensbury",67,"M",0,0,0,52,17416.000000,"S",2,37,"48",3,0,4,2,13,34,8.957320,1
234,2,0,,0,,,62,29,0,0,"Queensbury",29,"F",0,0,0,52,17570.000000,"S",5,22,"24",3,0,0,0,12,35,0.000000,3
236,3,0,,0,,,63,41,13,80,"Ravensville",41,"M",0,0,0,61,17790.000000,"M",7,27,"36",1,1,3,2,6,31,13.440700,2
236,2,0,,0,,,64,41,13,80,"Ravensville",41,"M",0,0,0,61,17790.000000,"M",7,27,"36",1,1,3,2,6,31,13.440700,2
237,2,0,,0,,,65,38,11,0,"Princeton",38,"M",0,0,0,61,17790.000000,"S",7,6,"12",1,0,0,0,6,31,0.000000,1
245,2,0,,0,,,66,32,7,0,"Princeton",32,"F",0,0,0,61,17790.000000,"S",7,-3,"0",1,0,1,0,6,31,0.000000,1
250,2,0,,0,,,67,41,9,384,"Princeton",41,"M",0,0,0,61,17790.000000,"U",7,10,"12",1,0,4,2,6,31,9.458000,1
252,2,0,,0,,,68,43,14,0,"Ravensville",43,"F",0,0,0,61,17790.000000,"S",7,6,"12",1,0,0,0,6,31,0.000000,3
255,2,0,,0,,,69,28,0,0,"Queensbury",28,"M",0,0,0,61,17790.000000,"S",7,13,"24",1,1,0,0,6,31,0.000000,3
257,2,0,,0,,,70,55,26,0,"Foxton",55,"F",0,0,0,61,17790.000000,"S",6,7,"12",1,1,0,0,6,31,0.000000,2
259,2,0,,0,,,71,34,4,0,"Foxton",34,"F",0,0,0,61,17790.000000,"S",7,18,"24",1,1,0,0,6,31,0.000000,3
260,2,0,,0,,,72,47,15,0,"Ravensville",47,"F",0,0,0,61,17790.000000,"S",7,13,"24",1,0,0,0,6,31,0.000000,1
265,3,0,,0,,,73,50,24,335,"Foxton",50,"M",0,0,0,61,17790.000000,"S",6,27,"36",1,0,1,1,6,31,9.199000,2
265,2,0,,0,,,74,50,24,335,"Foxton",50,"M",0,0,0,61,17790.000000,"S",6,27,"36",1,0,1,1,6,31,9.199000,2
271,2,0,,0,,,75,24,0,139,"Catburg",24,"F",0,1,0,54,17751.000000,"S",2,40,"48",2,4,3,2,6,39,9.161330,2
281,2,0,,0,,,76,34,5,208,"Foxton",34,"M",0,0,0,54,17751.000000,"U",2,6,"12",2,0,3,1,6,39,7.589000,3
289,2,0,,0,,,77,50,21,180,"Catburg",50,"M",0,0,0,51,17774.000000,"S",3,21,"24",3,4,4,3,5,43,10.326600,2
290,2,0,,0,,,78,45,18,288,"Princeton",45,"F",0,0,0,51,17774.000000,"U",4,5,"12",3,0,4,2,5,43,8.554670,3
295,2,0,,0,,,79,50,19,140,"Ravensville",50,"F",0,0,0,51,17774.000000,"M",3,5,"12",3,1,3,2,5,43,8.461330,1
295,3,0,,0,,,80,50,19,140,"Ravensville",50,"F",0,0,0,51,17774.000000,"M",3,5,"12",3,1,3,2,5,43,8.461330,1
298,2,0,,0,,,81,37,13,384,"Catburg",37,"M",0,0,0,51,17774.000000,"U",4,10,"12",3,1,4,1,5,43,8.982330,3
301,2,1,2006-07-22 00:00:00,1,,421,2144,46,20,841,"Queensbury",46,"M",0,0,0,51,17774.000000,"U",3,36,"48",3,1,4,3,5,43,10.257000,2
53200,3,0,,0,,,16588,40,15,406,"Ravensville",40,"F",0,0,0,54,51938.000000,"M",7,10,"12",2,1,5,9,11,34,15.672100,1
53200,2,0,,0,,,16589,40,15,406,"Ravensville",40,"F",0,0,0,54,51938.000000,"M",7,10,"12",2,1,5,9,11,34,15.672100,1
53203,2,0,,0,,,16590,27,0,0,"Ravensville",27,"M",0,0,0,58,51881.000000,"S",3,19,"24",1,0,0,0,13,27,0.000000,3
53209,2,0,,0,,,16591,55,24,0,"Kingsville",55,"F",0,0,0,60,51893.000000,"S",1,-2,"0",1,3,2,0,5,33,0.000000,2
53214,2,0,,0,,,16592,43,13,131,"Kingsville",43,"M",0,0,0,59,51862.000000,"S",7,17,"24",2,1,3,2,8,32,11.251300,1
53226,2,0,,0,,,16593,43,12,356,"Kingsville",43,"M",0,0,0,50,51929.000000,"M",6,8,"12",3,2,1,1,15,34,11.815700,1
53226,3,0,,0,,,16594,43,12,356,"Kingsville",43,"M",0,0,0,50,51929.000000,"M",6,8,"12",3,2,1,1,15,34,11.815700,1
53233,3,0,,0,,,16595,43,13,282,"Ravensville",43,"F",0,0,0,52,51915.000000,"S",5,22,"24",3,1,2,1,12,34,9.312330,1
53233,4,0,,0,,,16596,43,13,282,"Ravensville",43,"F",0,0,0,52,51915.000000,"S",5,22,"24",3,1,2,1,12,34,9.312330,1
53234,2,1,2006-07-07 00:00:00,0,,183,969,41,10,405,"Queensbury",41,"M",0,0,0,57,51884.000000,"M",5,28,"36",2,2,2,2,13,29,8.768000,3
53237,2,0,,0,,,16597,44,14,0,"Catburg",44,"M",0,0,0,39,51925.000000,"S",6,-6,"0",5,0,0,0,20,39,0.000000,3
53237,3,0,,0,,,16598,44,14,0,"Catburg",44,"M",0,0,0,39,51925.000000,"S",6,-6,"0",5,0,0,0,20,39,0.000000,3
53251,2,0,,0,,,16599,47,17,0,"Princeton",47,"F",0,0,0,47,51932.000000,"S",2,22,"24",4,1,0,0,13,39,0.000000,2
53257,2,0,,0,,,16600,44,15,0,"Catburg",44,"F",0,0,0,41,51907.000000,"M",6,10,"12",5,1,0,0,14,44,0.000000,2
53263,2,0,,0,,,16601,60,28,656,"Princeton",60,"M",0,0,0,52,51854.000000,"U",4,20,"24",2,0,1,6,16,31,12.795500,1
53263,3,0,,0,,,16602,60,28,656,"Princeton",60,"M",0,0,0,52,51854.000000,"U",4,20,"24",2,0,1,6,16,31,12.795500,1
53265,2,0,,0,,,16603,35,9,420,"Princeton",35,"F",0,0,0,42,51857.000000,"U",4,16,"24",4,1,4,7,11,45,13.796000,2
53267,3,0,,0,,,16604,33,6,154,"Queensbury",33,"M",0,0,0,48,51901.000000,"M",4,39,"48",3,2,3,2,24,26,8.448950,1
53267,2,0,,0,,,16605,33,6,154,"Queensbury",33,"M",0,0,0,48,51901.000000,"M",4,39,"48",3,2,3,2,24,26,8.448950,1
53271,1,0,,0,,,16606,40,12,275,"Foxton",40,"M",0,0,0,61,51895.000000,"M",6,40,"48",1,0,4,3,13,25,9.558900,1
53272,3,0,,0,,,16607,33,0,0,"Kingsville",33,"F",0,0,0,50,51883.000000,"S",4,23,"36",3,0,0,0,11,38,0.000000,3
53272,2,0,,0,,,16608,33,0,0,"Kingsville",33,"F",0,0,0,50,51883.000000,"S",4,23,"36",3,0,0,0,11,38,0.000000,3
53283,2,0,,0,,,16609,38,9,0,"Foxton",38,"M",0,0,0,36,51911.000000,"U",5,15,"24",5,0,0,0,10,52,0.000000,2
53287,4,0,,0,,,16610,36,7,203,"Princeton",36,"F",0,0,0,70,51925.000000,"M",4,29,"36",0,1,5,28,12,17,34.347900,1
53290,2,0,,0,,,16611,53,25,0,"Queensbury",53,"M",0,0,0,55,51929.000000,"S",2,30,"36",2,0,0,0,9,35,0.000000,3
53300,2,0,,0,,,16612,38,6,0,"Kingsville",38,"M",0,0,0,59,51868.000000,"U",2,31,"36",1,0,0,0,13,27,0.000000,3
53300,3,0,,0,,,16613,38,6,0,"Kingsville",38,"M",0,0,0,59,51868.000000,"U",2,31,"36",1,0,0,0,13,27,0.000000,3
53301,3,0,,0,,,16614,47,14,93,"Kingsville",47,"M",0,0,0,44,51852.000000,"S",5,25,"36",4,0,2,1,11,44,7.855670,2
53301,2,0,,0,,,16615,47,14,93,"Kingsville",47,"M",0,0,0,44,51852.000000,"S",5,25,"36",4,0,2,1,11,44,7.855670,2
53302,2,0,,0,,,16616,50,23,0,"Kingsville",50,"F",0,0,0,53,51915.000000,"U",6,20,"24",2,0,0,0,15,31,0.000000,1
53305,1,0,,0,,,16617,34,2,358,"Princeton",34,"F",0,0,0,50,51930.000000,"U",7,39,"48",3,0,3,2,11,37,8.524670,1
53311,1,0,,0,,,16618,37,4,129,"Queensbury",37,"F",0,0,0,56,51909.000000,"U",4,12,"24",2,0,3,2,6,36,9.685660,3
53320,2,0,,0,,,16619,34,3,0,"Kingsville",34,"F",0,0,0,51,51946.000000,"M",2,40,"48",3,0,0,0,8,40,0.000000,1
53331,2,0,,0,,,16620,52,23,0,"Princeton",52,"F",0,0,0,62,51890.000000,"S",2,26,"36",1,0,0,0,11,26,0.000000,1
53334,1,0,,0,,,16621,51,15,142,"Foxton",51,"F",0,0,0,74,51926.000000,"U",6,40,"48",0,0,2,1,8,16,7.905670,3
53334,3,0,,0,,,16622,51,15,142,"Foxton",51,"F",0,0,0,74,51926.000000,"U",6,40,"48",0,0,2,1,8,16,7.905670,3
53335,2,0,,0,,,16623,45,18,0,"Foxton",45,"M",0,0,0,31,51913.000000,"S",5,14,"24",6,0,0,0,22,45,0.000000,1
53342,2,0,,0,,,16624,52,23,0,"Princeton",52,"M",0,0,0,30,51924.000000,"S",6,-3,"0",6,2,0,0,9,59,0.000000,2
53351,2,0,,0,,,16625,42,10,0,"Catburg",42,"F",0,0,0,59,51934.000000,"U",3,33,"36",1,2,0,0,8,31,0.000000,1
53356,2,1,2006-07-29 00:00:00,1,,421,2732,52,24,56,"Princeton",52,"M",0,0,0,55,51923.000000,"U",5,25,"36",2,1,3,2,5,39,9.649940,1
53357,2,0,,0,,,16626,59,31,92,"Kingsville",59,"M",0,0,0,64,51914.000000,"M",4,31,"36",1,4,3,3,7,28,12.189000,3
53358,2,0,,0,,,16627,20,0,0,"Foxton",20,"M",0,0,0,51,51929.000000,"S",4,34,"36",3,0,0,0,14,34,0.000000,3
53363,4,0,,0,,,16628,46,19,199,"Kingsville",46,"M",0,0,0,53,51863.000000,"U",2,41,"48",2,0,4,1,11,34,9.665670,3
53363,3,0,,0,,,16629,46,19,199,"Kingsville",46,"M",0,0,0,53,51863.000000,"U",2,41,"48",2,0,4,1,11,34,9.665670,3
53366,3,0,,0,,,16630,44,16,93,"Kingsville",44,"M",0,0,0,53,51863.000000,"M",3,27,"36",2,3,2,1,11,34,7.422330,3
53366,2,0,,0,,,16631,44,16,93,"Kingsville",44,"M",0,0,0,53,51863.000000,"M",3,27,"36",2,3,2,1,11,34,7.422330,3
53373,4,0,,0,,,16632,34,5,160,"Princeton",34,"M",0,0,0,48,51863.000000,"S",4,40,"48",3,1,4,3,3,48,11.249000,3
53373,3,0,,0,,,16633,34,5,160,"Princeton",34,"M",0,0,0,48,51863.000000,"S",4,40,"48",3,1,4,3,3,48,11.249000,3
53377,4,0,,0,,,16634,38,8,233,"Foxton",38,"M",0,0,0,58,51890.000000,"U",7,22,"24",1,2,4,2,16,25,8.552320,2
53379,2,0,,0,,,16635,45,17,0,"Ravensville",45,"F",0,0,0,68,51936.000000,"M",7,-2,"0",0,2,2,0,14,16,0.000000,1
53382,2,0,,0,,,16636,32,4,0,"Ravensville",32,"M",0,0,0,67,51894.000000,"S",3,35,"36",0,0,0,0,8,24,0.000000,3
53384,2,0,,0,,,16637,30,0,127,"Ravensville",30,"F",0,0,0,52,51934.000000,"S",7,37,"48",3,1,4,1,11,35,13.219000,1
53384,3,0,,0,,,16638,30,0,127,"Ravensville",30,"F",0,0,0,52,51934.000000,"S",7,37,"48",3,1,4,1,11,35,13.219000,1
53388,3,0,,0,,,16639,42,13,140,"Ravensville",42,"F",0,0,0,20,51912.000000,"S",7,36,"48",8,0,3,2,13,65,11.967300,2
53388,2,0,,0,,,16640,42,13,140,"Ravensville",42,"F",0,0,0,20,51912.000000,"S",7,36,"48",8,0,3,2,13,65,11.967300,2
53390,3,0,,0,,,16641,49,22,40,"Foxton",49,"F",0,0,0,53,51886.000000,"M",4,33,"36",3,0,3,1,10,35,11.839900,2
53390,2,0,,0,,,16642,49,22,40,"Foxton",49,"F",0,0,0,53,51886.000000,"M",4,33,"36",3,0,3,1,10,35,11.839900,2
53392,2,1,2006-07-01 00:00:00,1,,183,496,48,18,621,"Foxton",48,"M",0,0,1,46,51864.000000,"M",4,24,"36",4,1,4,27,12,40,34.129501,2
53394,2,0,,0,,,16643,37,8,0,"Princeton",37,"M",0,0,0,50,51919.000000,"U",2,37,"48",3,0,0,0,18,30,0.000000,1
53398,2,0,,0,,,16644,39,8,0,"Queensbury",39,"F",0,0,0,53,51949.000000,"U",3,17,"24",2,0,0,0,4,41,0.000000,2
53400,2,0,,0,,,16645,60,34,0,"Kingsville",60,"F",0,0,0,47,51933.000000,"S",2,13,"24",4,0,0,0,23,29,0.000000,2
53403,2,0,,0,,,16646,32,2,0,"Foxton",32,"M",0,0,0,55,51949.000000,"S",3,36,"48",2,0,0,0,22,22,0.000000,1
53410,2,0,,0,,,16647,33,7,132,"Ravensville",33,"F",0,0,0,48,51883.000000,"M",4,37,"48",3,1,5,3,14,37,9.521940,1
53411,2,0,,0,,,16648,52,25,0,"Ravensville",52,"M",0,0,0,62,51879.000000,"U",3,36,"48",1,0,0,0,7,29,0.000000,3
53415,2,0,,0,,,16649,50,23,0,"Princeton",50,"F",0,0,0,21,51902.000000,"U",1,11,"24",8,2,0,0,27,50,0.000000,3
53416,3,0,,0,,,16650,44,15,83,"Ravensville",44,"M",0,0,0,58,51889.000000,"M",2,22,"24",2,0,6,3,9,32,12.048600,1
53416,1,0,,0,,,16651,44,15,83,"Ravensville",44,"M",0,0,0,58,51889.000000,"M",2,22,"24",2,0,6,3,9,32,12.048600,1
53417,2,0,,0,,,16652,53,25,0,"Queensbury",53,"F",0,0,0,58,51889.000000,"M",1,33,"36",2,2,0,0,9,32,0.000000,2
53417,3,0,,0,,,16653,53,25,0,"Queensbury",53,"F",0,0,0,58,51889.000000,"M",1,33,"36",2,2,0,0,9,32,0.000000,2
53421,1,0,,0,,,16654,37,12,321,"Princeton",37,"F",0,0,0,58,51923.000000,"U",7,11,"24",1,0,3,2,14,26,13.450700,2
53428,2,0,,0,,,16655,26,0,0,"Princeton",26,"M",0,0,0,42,51894.000000,"S",4,12,"24",4,1,0,0,14,42,0.000000,1
53434,3,0,,0,,,16656,41,14,0,"Kingsville",41,"F",0,0,0,62,51929.000000,"M",4,-1,"0",1,0,1,0,9,27,0.000000,1
53434,2,0,,0,,,16657,41,14,0,"Kingsville",41,"F",0,0,0,62,51929.000000,"M",4,-1,"0",1,0,1,0,9,27,0.000000,1
53435,3,0,,0,,,16658,27,0,0,"Catburg",27,"M",0,0,0,62,51929.000000,"S",4,-6,"0",1,0,0,0,9,27,0.000000,2
53435,2,0,,0,,,16659,27,0,0,"Catburg",27,"M",0,0,0,62,51929.000000,"S",4,-6,"0",1,0,0,0,9,27,0.000000,2
53437,2,0,,0,,,16660,45,16,148,"Foxton",45,"M",0,0,0,43,51888.000000,"S",6,7,"12",4,0,3,2,9,46,8.414670,3
53441,2,0,,0,,,16661,30,0,0,"Foxton",30,"F",0,0,0,62,51886.000000,"S",3,-6,"0",1,3,0,0,10,26,0.000000,3
53451,2,0,,0,,,16662,42,10,0,"Queensbury",42,"F",0,0,0,58,51921.000000,"M",6,40,"48",2,2,0,0,8,33,0.000000,2
53453,2,0,,0,,,16663,46,20,100,"Catburg",46,"M",0,0,0,72,51891.000000,"S",6,17,"24",0,0,2,1,11,15,8.765670,3
53454,2,0,,0,,,16664,47,17,81,"Princeton",47,"M",0,0,0,51,51934.000000,"U",6,38,"48",3,0,5,3,20,28,9.780980,3
53456,2,0,,0,,,16665,36,7,0,"Princeton",36,"M",0,0,0,51,51934.000000,"M",6,39,"48",3,2,0,0,20,28,0.000000,3
53457,2,0,,0,,,16666,31,0,0,"Queensbury",31,"M",0,0,0,56,51871.000000,"S",5,31,"36",2,0,0,0,9,34,0.000000,3
53458,2,0,,0,,,16667,22,0,134,"Ravensville",22,"M",0,0,0,59,51946.000000,"S",2,14,"24",1,0,5,2,10,29,10.700700,3
53458,3,0,,0,,,16668,22,0,134,"Ravensville",22,"M",0,0,0,59,51946.000000,"S",2,14,"24",1,0,5,2,10,29,10.700700,3
53459,3,0,,0,,,16669,53,24,377,"Queensbury",53,"M",0,0,1,59,51946.000000,"M",1,30,"36",1,1,0,17,10,29,23.954800,1
53469,4,0,,0,,,16670,32,2,91,"Queensbury",32,"M",0,0,0,35,51862.000000,"M",5,41,"48",5,1,3,2,14,49,10.122300,3
53469,2,1,2006-07-13 00:00:00,1,,421,1452,32,2,91,"Queensbury",32,"M",0,0,0,35,51862.000000,"M",5,41,"48",5,1,3,2,14,49,10.122300,3
53472,2,0,,0,,,16671,22,0,76,"Queensbury",22,"M",0,0,0,50,51893.000000,"S",3,28,"36",3,1,1,1,9,40,11.635700,1
53476,4,0,,0,,,16672,42,15,221,"Princeton",42,"M",0,0,0,53,51941.000000,"S",4,29,"36",2,3,4,1,11,34,8.165670,1
53476,3,0,,0,,,16673,42,15,221,"Princeton",42,"M",0,0,0,53,51941.000000,"S",4,29,"36",2,3,4,1,11,34,8.165670,1
53479,2,0,,0,,,16674,48,19,0,"Ravensville",48,"F",0,0,0,43,51869.000000,"U",6,18,"24",4,0,0,0,6,49,0.000000,1
53482,2,0,,0,,,16675,40,11,0,"Ravensville",40,"F",0,0,0,41,51851.000000,"S",4,5,"12",5,1,0,0,11,46,0.000000,3
53482,3,0,,0,,,16676,40,11,0,"Ravensville",40,"F",0,0,0,41,51851.000000,"S",4,5,"12",5,1,0,0,11,46,0.000000,3
