CÛdigo IBGE do MunicÌpio;CÛdigo da Unidade da FederaÁ„o;Sigla da Unidade da FederaÁ„o;Nome das Grandes Regiıes;CÛdigo IBGE da Mesoregi„o;Nome da Mesoregi„o;CÛdigo IBGE da Microregi„o;Nome da Microregi„o;IDHM 1991;IDHM 2000;IDHM 2010
130240;13;AM;Norte;1304;Sul Amazonense;13012;Purus;0,254;0,386;0,531
130250;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,339;0,437;0,614
130255;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,244;0,429;0,596
130260;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,521;0,601;0,737
130270;13;AM;Norte;1304;Sul Amazonense;13013;Madeira;0,287;0,398;0,582
130280;13;AM;Norte;1301;Norte Amazonense;13002;Japurﬂ;0,265;0,291;0,498
130290;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,333;0,454;0,588
130300;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,356;0,441;0,586
130310;13;AM;Norte;1303;Centro Amazonense;13009;Itacoatiara;0,321;0,373;0,558
130320;13;AM;Norte;1301;Norte Amazonense;13001;Rio Negro;0,264;0,428;0,57
130330;13;AM;Norte;1304;Sul Amazonense;13013;Madeira;0,293;0,387;0,554
130340;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,414;0,488;0,658
130350;13;AM;Norte;1304;Sul Amazonense;13011;Boca do Acre;0,177;0,287;0,496
130353;13;AM;Norte;1303;Centro Amazonense;13008;Rio Preto da Eva;0,461;0,537;0,647
130356;13;AM;Norte;1303;Centro Amazonense;13008;Rio Preto da Eva;0,353;0,434;0,611
130360;13;AM;Norte;1301;Norte Amazonense;13001;Rio Negro;0,236;0,384;0,479
130370;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,206;0,306;0,49
130380;13;AM;Norte;1301;Norte Amazonense;13001;Rio Negro;0,388;0,478;0,609
130390;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,269;0,324;0,521
130395;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,354;0,428;0,577
130400;13;AM;Norte;1303;Centro Amazonense;13009;Itacoatiara;0,373;0,486;0,632
130406;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,333;0,47;0,616
130410;13;AM;Norte;1304;Sul Amazonense;13012;Purus;0,151;0,293;0,502
130420;13;AM;Norte;1303;Centro Amazonense;13005;Tef⁄;0,349;0,438;0,639
130423;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,257;0,327;0,548
130426;13;AM;Norte;1303;Centro Amazonense;13005;Tef⁄;0,29;0,358;0,527
130430;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,386;0,487;0,62
130440;13;AM;Norte;1303;Centro Amazonense;13009;Itacoatiara;0,254;0,427;0,588
140002;14;RR;Norte;1401;Norte de Roraima;14001;Boa Vista;0,333;0,42;0,484
140005;14;RR;Norte;1401;Norte de Roraima;14001;Boa Vista;0,306;0,46;0,542
140010;14;RR;Norte;1401;Norte de Roraima;14001;Boa Vista;0,529;0,649;0,752
140015;14;RR;Norte;1401;Norte de Roraima;14002;Nordeste de Roraima;0,34;0,458;0,626
140017;14;RR;Norte;1401;Norte de Roraima;14002;Nordeste de Roraima;0,301;0,499;0,619
140020;14;RR;Norte;1402;Sul de Roraima;14003;Caracara›;0,405;0,521;0,624
140023;14;RR;Norte;1402;Sul de Roraima;14004;Sudeste de Roraima;0,249;0,492;0,639
140028;14;RR;Norte;1402;Sul de Roraima;14003;Caracara›;0,358;0,518;0,582
140030;14;RR;Norte;1402;Sul de Roraima;14003;Caracara›;0,374;0,55;0,665
140040;14;RR;Norte;1401;Norte de Roraima;14002;Nordeste de Roraima;0,278;0,373;0,594
140045;14;RR;Norte;1401;Norte de Roraima;14001;Boa Vista;0,378;0,544;0,65
140047;14;RR;Norte;1402;Sul de Roraima;14004;Sudeste de Roraima;0,324;0,501;0,619
140050;14;RR;Norte;1402;Sul de Roraima;14004;Sudeste de Roraima;0,365;0,538;0,655
140060;14;RR;Norte;1402;Sul de Roraima;14004;Sudeste de Roraima;0,348;0,545;0,649
140070;14;RR;Norte;1401;Norte de Roraima;14002;Nordeste de Roraima;0,201;0,333;0,453
150010;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,386;0,501;0,628
150013;15;PA;Norte;1506;Sudeste Paraense;15017;Paragominas;0,357;0,508;0,622
150020;15;PA;Norte;1504;Nordeste Paraense;15012;Tom⁄-A˛u;0,254;0,35;0,506
150030;15;PA;Norte;1502;Marajæ;15005;Furos de Breves;0,25;0,33;0,489
150034;15;PA;Norte;1506;Sudeste Paraense;15019;Parauapebas;0,208;0,376;0,564
150040;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,328;0,433;0,564
150050;15;PA;Norte;1501;Baixo Amazonas;15003;Almeirim;0,395;0,526;0,642
150060;15;PA;Norte;1505;Sudoeste Paraense;15015;Altamira;0,386;0,534;0,665
150070;15;PA;Norte;1502;Marajæ;15005;Furos de Breves;0,197;0,307;0,484
150080;15;PA;Norte;1503;Metropolitana de Bel⁄m;15007;Bel⁄m;0,516;0,606;0,718
150085;15;PA;Norte;1505;Sudoeste Paraense;15015;Altamira;0,25;0,392;0,548
150090;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,238;0,335;0,52
150095;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,259;0,358;0,519
150100;15;PA;Norte;1505;Sudoeste Paraense;15014;Itaituba;0,281;0,368;0,541
150110;15;PA;Norte;1502;Marajæ;15004;Portel;0,241;0,33;0,471
150120;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,336;0,459;0,578
150125;15;PA;Norte;1506;Sudeste Paraense;15018;S“o F⁄lix do Xingu;0,305;0,424;0,594
150130;15;PA;Norte;1503;Metropolitana de Bel⁄m;15007;Bel⁄m;0,447;0,554;0,662
150140;15;PA;Norte;1503;Metropolitana de Bel⁄m;15007;Bel⁄m;0,562;0,644;0,746
150145;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,311;0,396;0,588
150150;15;PA;Norte;1503;Metropolitana de Bel⁄m;15007;Bel⁄m;0,368;0,529;0,665
150157;15;PA;Norte;1506;Sudeste Paraense;15017;Paragominas;0,309;0,429;0,589
150160;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,241;0,381;0,546
150170;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,325;0,458;0,6
150172;15;PA;Norte;1505;Sudoeste Paraense;15015;Altamira;0,288;0,433;0,613
150175;15;PA;Norte;1506;Sudeste Paraense;15020;Marabﬂ;0,258;0,496;0,591
150178;15;PA;Norte;1506;Sudeste Paraense;15016;Tucuru›;0,293;0,422;0,568
150180;15;PA;Norte;1502;Marajæ;15005;Furos de Breves;0,284;0,372;0,503
150190;15;PA;Norte;1503;Metropolitana de Bel⁄m;15008;Castanhal;0,336;0,395;0,552
150195;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,203;0,301;0,473
150200;15;PA;Norte;1502;Marajæ;15006;Arari;0,324;0,427;0,546
150210;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,328;0,432;0,577
150215;15;PA;Norte;1506;Sudeste Paraense;15019;Parauapebas;0,276;0,456;0,673
150220;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,425;0,533;0,655
150230;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,279;0,379;0,548
150240;15;PA;Norte;1503;Metropolitana de Bel⁄m;15008;Castanhal;0,424;0,55;0,673
150250;15;PA;Norte;1502;Marajæ;15006;Arari;0,179;0,289;0,453
150260;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,389;0,524;0,602
150270;15;PA;Norte;1506;Sudeste Paraense;15022;Concei˛“o do Araguaia;0,371;0,512;0,64
150275;15;PA;Norte;1504;Nordeste Paraense;15012;Tom⁄-A˛u;0,287;0,402;0,566
150276;15;PA;Norte;1506;Sudeste Paraense;15018;S“o F⁄lix do Xingu;0,309;0,405;0,55
150277;15;PA;Norte;1506;Sudeste Paraense;15019;Parauapebas;0,326;0,449;0,636
150280;15;PA;Norte;1502;Marajæ;15005;Furos de Breves;0,229;0,323;0,502
150285;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,194;0,383;0,578
150290;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,339;0,474;0,582
150293;15;PA;Norte;1506;Sudeste Paraense;15017;Paragominas;0,299;0,452;0,615
150295;15;PA;Norte;1506;Sudeste Paraense;15019;Parauapebas;0,26;0,389;0,56
150300;15;PA;Norte;1501;Baixo Amazonas;15001;Àbidos;0,281;0,431;0,563
150304;15;PA;Norte;1506;Sudeste Paraense;15022;Concei˛“o do Araguaia;0,209;0,411;0,583
150307;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,183;0,331;0,526
150309;15;PA;Norte;1506;Sudeste Paraense;15017;Paragominas;0,235;0,422;0,56
150310;15;PA;Norte;1502;Marajæ;15004;Portel;0,209;0,349;0,509
150320;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,341;0,459;0,595
150330;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,322;0,416;0,547
150340;15;PA;Norte;1503;Metropolitana de Bel⁄m;15008;Castanhal;0,327;0,438;0,572
150345;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,268;0,317;0,489
150350;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,271;0,419;0,559
150360;15;PA;Norte;1505;Sudoeste Paraense;15014;Itaituba;0,355;0,489;0,64
150370;15;PA;Norte;1506;Sudeste Paraense;15016;Tucuru›;0,258;0,354;0,528
150375;15;PA;Norte;1505;Sudoeste Paraense;15014;Itaituba;0,242;0,371;0,505
150380;15;PA;Norte;1506;Sudeste Paraense;15016;Tucuru›;0,367;0,477;0,622
150390;15;PA;Norte;1501;Baixo Amazonas;15001;Àbidos;0,313;0,389;0,592
150400;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,3;0,373;0,541
150405;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,382;0,466;0,599
150410;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,342;0,429;0,597
150420;15;PA;Norte;1506;Sudeste Paraense;15020;Marabﬂ;0,401;0,536;0,668
150430;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,313;0,406;0,57
150440;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,337;0,448;0,609
150442;15;PA;Norte;1503;Metropolitana de Bel⁄m;15007;Bel⁄m;0,397;0,505;0,676
150445;15;PA;Norte;1505;Sudoeste Paraense;15015;Altamira;0,293;0,47;0,582
150450;15;PA;Norte;1502;Marajæ;15004;Portel;0,177;0,26;0,418
150460;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,354;0,443;0,575
150470;15;PA;Norte;1504;Nordeste Paraense;15012;Tom⁄-A˛u;0,289;0,399;0,547
150480;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,349;0,467;0,589
150490;15;PA;Norte;1502;Marajæ;15006;Arari;0,305;0,35;0,547
150495;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,229;0,315;0,502
150497;15;PA;Norte;1506;Sudeste Paraense;15016;Tucuru›;0,238;0,432;0,581
150500;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,361;0,469;0,609
150503;15;PA;Norte;1505;Sudoeste Paraense;15014;Itaituba;0,377;0,466;0,673
150506;15;PA;Norte;1506;Sudeste Paraense;15016;Tucuru›;0,222;0,372;0,537
150510;15;PA;Norte;1501;Baixo Amazonas;15001;Àbidos;0,347;0,452;0,594
150520;15;PA;Norte;1504;Nordeste Paraense;15011;Cametﬂ;0,268;0,36;0,507
150530;15;PA;Norte;1501;Baixo Amazonas;15001;Àbidos;0,39;0,517;0,623
150540;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,332;0,436;0,568
150543;15;PA;Norte;1506;Sudeste Paraense;15018;S“o F⁄lix do Xingu;0,309;0,438;0,624
150548;15;PA;Norte;1505;Sudoeste Paraense;15015;Altamira;0,257;0,34;0,515
150549;15;PA;Norte;1506;Sudeste Paraense;15020;Marabﬂ;0,295;0,455;0,589
150550;15;PA;Norte;1506;Sudeste Paraense;15017;Paragominas;0,336;0,471;0,645
150553;15;PA;Norte;1506;Sudeste Paraense;15019;Parauapebas;0,439;0,553;0,715
150555;15;PA;Norte;1506;Sudeste Paraense;15021;Reden˛“o;0,23;0,401;0,574
150560;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,337;0,446;0,581
150563;15;PA;Norte;1506;Sudeste Paraense;15021;Reden˛“o;0,208;0,37;0,563
150565;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,276;0,39;0,552
150570;15;PA;Norte;1502;Marajæ;15006;Arari;0,335;0,444;0,562
150580;15;PA;Norte;1502;Marajæ;15004;Portel;0,272;0,359;0,483
150590;15;PA;Norte;1501;Baixo Amazonas;15003;Almeirim;0,218;0,36;0,503
150600;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,245;0,361;0,523
150610;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,248;0,43;0,577
150611;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,27;0,406;0,543
150613;15;PA;Norte;1506;Sudeste Paraense;15021;Reden˛“o;0,374;0,53;0,672
150616;15;PA;Norte;1506;Sudeste Paraense;15021;Reden˛“o;0,295;0,499;0,638
150618;15;PA;Norte;1506;Sudeste Paraense;15017;Paragominas;0,392;0,461;0,602
150619;15;PA;Norte;1505;Sudoeste Paraense;15014;Itaituba;0,257;0,421;0,548
150620;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,399;0,517;0,647
150630;15;PA;Norte;1502;Marajæ;15006;Arari;0,391;0,478;0,608
150635;15;PA;Norte;1503;Metropolitana de Bel⁄m;15007;Bel⁄m;0,369;0,505;0,627
150640;15;PA;Norte;1502;Marajæ;15006;Arari;0,3;0,393;0,557
150650;15;PA;Norte;1503;Metropolitana de Bel⁄m;15008;Castanhal;0,447;0,535;0,659
150655;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,274;0,362;0,546
150658;15;PA;Norte;1506;Sudeste Paraense;15022;Concei˛“o do Araguaia;0,327;0,408;0,544
150660;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,368;0,463;0,598
150670;15;PA;Norte;1506;Sudeste Paraense;15022;Concei˛“o do Araguaia;0,331;0,45;0,602
150680;15;PA;Norte;1501;Baixo Amazonas;15002;Santar⁄m;0,421;0,555;0,691
150690;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,337;0,424;0,587
150700;15;PA;Norte;1503;Metropolitana de Bel⁄m;15008;Castanhal;0,365;0,475;0,632
150710;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,337;0,464;0,585
150715;15;PA;Norte;1506;Sudeste Paraense;15020;Marabﬂ;0,285;0,454;0,594
150720;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,33;0,371;0,532
150730;15;PA;Norte;1506;Sudeste Paraense;15018;S“o F⁄lix do Xingu;0,315;0,435;0,594
150740;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,371;0,476;0,608
150745;15;PA;Norte;1506;Sudeste Paraense;15021;Reden˛“o;0,256;0,415;0,595
150746;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,282;0,448;0,583
150747;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,306;0,415;0,539
150750;15;PA;Norte;1506;Sudeste Paraense;15020;Marabﬂ;0,233;0,349;0,55
150760;15;PA;Norte;1504;Nordeste Paraense;15013;Guamﬂ;0,322;0,453;0,591
150770;15;PA;Norte;1502;Marajæ;15005;Furos de Breves;0,288;0,422;0,558
150775;15;PA;Norte;1506;Sudeste Paraense;15021;Reden˛“o;0,311;0,469;0,59
150780;15;PA;Norte;1505;Sudoeste Paraense;15015;Altamira;0,253;0,361;0,514
150790;15;PA;Norte;1502;Marajæ;15006;Arari;0,427;0,513;0,615
150795;15;PA;Norte;1504;Nordeste Paraense;15012;Tom⁄-A˛u;0,34;0,433;0,588
150796;15;PA;Norte;1504;Nordeste Paraense;15009;Salgado;0,266;0,474;0,605
150797;15;PA;Norte;1501;Baixo Amazonas;15001;Àbidos;0,334;0,49;0,635
150800;15;PA;Norte;1504;Nordeste Paraense;15012;Tom⁄-A˛u;0,347;0,438;0,586
150803;15;PA;Norte;1504;Nordeste Paraense;15010;Bragantina;0,25;0,357;0,531
150805;15;PA;Norte;1505;Sudoeste Paraense;15014;Itaituba;0,271;0,395;0,562
150808;15;PA;Norte;1506;Sudeste Paraense;15018;S“o F⁄lix do Xingu;0,305;0,512;0,659
